Age,Age_Group,Attrition,Attrition_Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,Experience_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group2,Income Band,Tenure Group,Promotion Status,Experience Group
35,Mid-Career,No,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,Low,16479,0,Y,No,13,3,3,80,1,6,Junior Level,5,3,5,4,0,3,35-44,< $3k,4-5 yrs,Promoted this year,6-10 yrs
29,Young,No,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,Low,12682,0,Y,Yes,12,3,4,80,0,10,Junior Level,3,3,9,5,0,8,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
31,Mid-Career,No,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,Low,15170,1,Y,No,17,3,4,80,1,5,Entry Level,1,2,5,2,4,3,25-34,< $3k,4-5 yrs,3-5 yrs since promotion,3-5 yrs
34,Mid-Career,No,0,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,Low,8758,0,Y,No,11,3,3,80,1,3,Entry Level,2,3,2,2,1,2,25-34,< $3k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
28,Young,Yes,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,Low,12947,5,Y,Yes,14,3,2,80,0,6,Junior Level,4,3,4,2,0,3,25-34,< $3k,4-5 yrs,Promoted this year,6-10 yrs
29,Young,No,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,Medium,10195,1,Y,No,11,3,3,80,1,10,Junior Level,1,3,10,9,8,8,25-34,$6k-$10k,6-10 yrs,5+ yrs since promotion,6-10 yrs
32,Mid-Career,No,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,Low,15053,0,Y,Yes,12,3,4,80,2,7,Junior Level,5,2,6,2,0,5,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
22,Young,No,0,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Low,7324,1,Y,Yes,13,3,2,80,2,1,Entry Level,2,2,1,0,0,0,Under 25,< $3k,0-1 yrs,Promoted this year,0-2 yrs
53,Senior,No,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,High,22021,2,Y,No,16,3,3,80,0,31,Senior Level,3,3,25,8,3,7,45-54,$15k+,10+ yrs,3-5 yrs since promotion,20+ yrs
38,Mid-Career,No,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,Low,4306,5,Y,Yes,11,3,3,80,0,6,Junior Level,3,3,3,2,1,2,35-44,$3k-$6k,2-3 yrs,1-2 yrs since promotion,6-10 yrs
24,Young,No,0,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Low,8232,0,Y,No,18,3,4,80,1,5,Entry Level,5,2,4,2,1,3,Under 25,$3k-$6k,4-5 yrs,1-2 yrs since promotion,3-5 yrs
36,Mid-Career,Yes,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,Low,6986,7,Y,No,23,4,2,80,0,10,Junior Level,4,3,5,3,0,3,35-44,$3k-$6k,4-5 yrs,Promoted this year,6-10 yrs
34,Mid-Career,No,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,Medium,21293,0,Y,No,11,3,3,80,0,13,Mid Level,4,3,12,6,2,11,25-34,$10k-$15k,10+ yrs,1-2 yrs since promotion,11-20 yrs
21,Young,No,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Low,19281,1,Y,No,14,3,4,80,0,0,Entry Level,6,3,0,0,0,0,Under 25,< $3k,0-1 yrs,Promoted this year,0-2 yrs
34,Mid-Career,Yes,1,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,Low,17102,2,Y,No,11,3,3,80,0,8,Junior Level,2,3,4,2,1,3,25-34,< $3k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
53,Senior,No,0,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,High,10735,4,Y,No,11,3,4,80,1,26,Senior Level,3,2,14,13,4,8,45-54,$15k+,10+ yrs,3-5 yrs since promotion,20+ yrs
32,Mid-Career,Yes,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,Low,4681,1,Y,Yes,22,4,2,80,0,10,Junior Level,5,3,10,2,6,7,25-34,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
42,Senior,No,0,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,Low,21173,0,Y,No,11,3,4,80,1,10,Junior Level,2,3,9,7,4,2,35-44,$6k-$10k,6-10 yrs,3-5 yrs since promotion,6-10 yrs
44,Senior,No,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,Medium,2094,3,Y,No,14,3,4,80,1,24,Senior Level,4,3,22,6,5,17,35-44,$10k-$15k,10+ yrs,3-5 yrs since promotion,20+ yrs
46,Senior,No,0,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,High,22822,3,Y,No,12,3,4,80,0,22,Senior Level,2,2,2,2,2,1,45-54,$15k+,2-3 yrs,1-2 yrs since promotion,20+ yrs
33,Mid-Career,No,0,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,Low,6670,4,Y,No,11,3,4,80,0,7,Junior Level,3,3,1,1,0,0,25-34,< $3k,0-1 yrs,Promoted this year,6-10 yrs
44,Senior,No,0,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,Low,19121,2,Y,Yes,13,3,4,80,0,9,Junior Level,5,4,4,2,1,3,35-44,$6k-$10k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
30,Mid-Career,No,0,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,Low,16117,1,Y,No,13,3,1,80,0,10,Junior Level,5,3,10,0,1,8,25-34,< $3k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
39,Mid-Career,Yes,1,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,Low,3335,3,Y,No,14,3,3,80,1,19,Mid Level,6,4,1,0,0,0,35-44,< $3k,0-1 yrs,Promoted this year,11-20 yrs
24,Young,Yes,1,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Low,3020,2,Y,Yes,16,3,1,80,1,6,Junior Level,2,2,2,0,2,0,Under 25,< $3k,2-3 yrs,1-2 yrs since promotion,6-10 yrs
43,Senior,No,0,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,Low,21923,1,Y,No,12,3,4,80,2,6,Junior Level,3,2,5,3,1,4,35-44,< $3k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
50,Senior,Yes,1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,Low,3810,1,Y,Yes,14,3,3,80,0,3,Entry Level,2,3,3,2,0,2,45-54,< $3k,2-3 yrs,Promoted this year,3-5 yrs
35,Mid-Career,No,0,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,Low,9687,1,Y,No,13,3,1,80,0,2,Entry Level,3,3,2,2,2,2,35-44,< $3k,2-3 yrs,1-2 yrs since promotion,0-2 yrs
36,Mid-Career,No,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,Low,13072,9,Y,Yes,14,3,4,80,1,6,Junior Level,3,4,1,1,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,6-10 yrs
33,Mid-Career,No,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,Low,3193,2,Y,No,19,3,1,80,2,10,Junior Level,3,3,5,3,1,3,25-34,$3k-$6k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
35,Mid-Career,No,0,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,Low,10910,1,Y,No,12,3,3,80,1,1,Entry Level,3,3,1,0,0,0,35-44,< $3k,0-1 yrs,Promoted this year,0-2 yrs
27,Young,No,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,Low,19715,1,Y,No,13,3,4,80,1,1,Entry Level,6,3,1,0,0,0,25-34,< $3k,0-1 yrs,Promoted this year,0-2 yrs
26,Young,Yes,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,Low,10558,1,Y,No,12,3,3,80,0,1,Entry Level,2,2,1,0,0,1,25-34,< $3k,0-1 yrs,Promoted this year,0-2 yrs
27,Young,No,0,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,Medium,2975,1,Y,No,15,3,4,80,0,9,Junior Level,0,3,9,8,1,7,25-34,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
30,Mid-Career,No,0,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,Low,10781,1,Y,No,23,4,4,80,0,12,Mid Level,2,3,12,8,3,7,25-34,$3k-$6k,10+ yrs,3-5 yrs since promotion,11-20 yrs
41,Senior,Yes,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,High,16280,1,Y,No,12,3,4,80,0,23,Senior Level,0,3,22,15,15,8,35-44,$15k+,10+ yrs,5+ yrs since promotion,20+ yrs
34,Mid-Career,No,0,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,Low,10034,0,Y,No,20,4,3,80,0,10,Junior Level,2,3,9,5,8,7,25-34,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
37,Mid-Career,No,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,Low,10227,4,Y,No,21,4,1,80,0,8,Junior Level,1,3,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,6-10 yrs
46,Senior,No,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,Low,20445,4,Y,Yes,21,4,3,80,0,14,Mid Level,4,3,9,6,0,8,45-54,$3k-$6k,6-10 yrs,Promoted this year,11-20 yrs
35,Mid-Career,No,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,Low,4892,1,Y,No,19,3,4,80,0,1,Entry Level,2,3,1,0,0,1,35-44,< $3k,0-1 yrs,Promoted this year,0-2 yrs
48,Senior,Yes,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,Low,19294,9,Y,Yes,13,3,4,80,0,23,Senior Level,2,3,1,0,0,0,45-54,$3k-$6k,0-1 yrs,Promoted this year,20+ yrs
28,Young,Yes,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,Low,11179,1,Y,Yes,13,3,3,80,0,2,Entry Level,3,2,2,2,2,2,25-34,$3k-$6k,2-3 yrs,1-2 yrs since promotion,0-2 yrs
44,Senior,No,0,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,Low,4009,5,Y,Yes,21,4,3,80,1,9,Junior Level,2,2,4,3,1,3,35-44,$3k-$6k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
35,Mid-Career,No,0,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,Medium,8302,2,Y,Yes,13,3,3,80,1,10,Junior Level,3,3,4,0,2,3,35-44,$6k-$10k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
26,Young,No,0,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,Low,21436,7,Y,Yes,19,3,3,80,1,5,Entry Level,2,2,2,2,0,0,25-34,$3k-$6k,2-3 yrs,Promoted this year,3-5 yrs
33,Mid-Career,No,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,Medium,15146,1,Y,Yes,12,3,3,80,0,15,Mid Level,1,3,15,14,8,12,25-34,$10k-$15k,10+ yrs,5+ yrs since promotion,11-20 yrs
35,Mid-Career,No,0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,Medium,11031,1,Y,No,22,4,4,80,1,9,Junior Level,3,2,9,8,1,8,35-44,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
35,Mid-Career,No,0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,Low,16002,3,Y,Yes,15,3,3,80,1,4,Entry Level,3,3,2,2,2,2,35-44,$3k-$6k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
31,Mid-Career,No,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,Low,9528,3,Y,No,22,4,4,80,1,10,Junior Level,3,2,7,7,1,7,25-34,$3k-$6k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
37,Mid-Career,No,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,Low,2689,1,Y,No,18,3,3,80,1,7,Junior Level,2,4,7,5,0,7,35-44,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
32,Mid-Career,No,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,Low,10877,1,Y,Yes,22,4,2,80,1,9,Junior Level,3,3,9,8,7,8,25-34,$6k-$10k,6-10 yrs,5+ yrs since promotion,6-10 yrs
38,Mid-Career,No,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,Low,5456,1,Y,No,11,3,4,80,0,10,Junior Level,2,3,10,3,9,9,35-44,< $3k,6-10 yrs,5+ yrs since promotion,6-10 yrs
50,Senior,No,0,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,High,16701,5,Y,Yes,12,3,4,80,1,29,Senior Level,2,2,27,3,13,8,45-54,$15k+,10+ yrs,5+ yrs since promotion,20+ yrs
59,Senior,No,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,Medium,2354,7,Y,No,11,3,4,80,0,28,Senior Level,3,2,21,16,7,9,55+,$6k-$10k,10+ yrs,5+ yrs since promotion,20+ yrs
36,Mid-Career,No,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,Medium,8202,1,Y,No,13,3,2,80,3,17,Mid Level,2,3,17,14,12,8,35-44,$10k-$15k,10+ yrs,5+ yrs since promotion,11-20 yrs
55,Senior,No,0,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,High,19730,2,Y,Yes,14,3,3,80,3,21,Senior Level,2,3,5,0,0,2,55+,$10k-$15k,4-5 yrs,Promoted this year,20+ yrs
36,Mid-Career,No,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,Low,22656,1,Y,No,13,3,3,80,0,6,Junior Level,3,3,6,5,0,3,35-44,$6k-$10k,6-10 yrs,Promoted this year,6-10 yrs
45,Senior,No,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,Medium,18787,2,Y,No,17,3,3,80,1,25,Senior Level,2,3,1,0,0,0,45-54,$6k-$10k,0-1 yrs,Promoted this year,20+ yrs
35,Mid-Career,No,0,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,Low,5868,4,Y,No,13,3,4,80,1,5,Entry Level,2,2,3,2,1,2,35-44,< $3k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
36,Mid-Career,Yes,1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,Low,21777,0,Y,Yes,17,3,1,80,1,2,Entry Level,0,2,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,0-2 yrs
59,Senior,No,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,Low,24668,7,Y,No,11,3,4,80,0,20,Mid Level,2,2,4,3,1,3,55+,$3k-$6k,4-5 yrs,1-2 yrs since promotion,11-20 yrs
29,Young,No,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,Low,4956,0,Y,No,23,4,4,80,1,6,Junior Level,3,3,5,4,0,4,25-34,< $3k,4-5 yrs,Promoted this year,6-10 yrs
31,Mid-Career,No,0,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,Low,18775,1,Y,No,17,3,2,80,0,1,Entry Level,4,3,1,1,1,0,25-34,< $3k,0-1 yrs,1-2 yrs since promotion,0-2 yrs
32,Mid-Career,No,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,Low,7346,1,Y,No,17,3,2,80,2,10,Junior Level,3,3,10,4,0,9,25-34,$6k-$10k,6-10 yrs,Promoted this year,6-10 yrs
36,Mid-Career,No,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,Low,22002,3,Y,No,12,3,2,80,0,5,Entry Level,3,3,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,3-5 yrs
31,Mid-Career,No,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,Low,20682,1,Y,No,23,4,4,80,0,11,Mid Level,2,3,11,7,1,8,25-34,$3k-$6k,10+ yrs,1-2 yrs since promotion,11-20 yrs
35,Mid-Career,No,0,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,Low,23016,0,Y,No,14,3,2,80,0,16,Mid Level,2,3,15,13,2,8,35-44,$3k-$6k,10+ yrs,1-2 yrs since promotion,11-20 yrs
45,Senior,No,0,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,Medium,15067,4,Y,Yes,14,3,2,80,0,17,Mid Level,3,4,0,0,0,0,45-54,$10k-$15k,0-1 yrs,Promoted this year,11-20 yrs
37,Mid-Career,No,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,Medium,25258,4,Y,No,13,3,1,80,0,16,Mid Level,3,4,5,2,0,2,35-44,$10k-$15k,4-5 yrs,Promoted this year,11-20 yrs
46,Senior,No,0,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,Low,10425,8,Y,Yes,22,4,4,80,1,16,Mid Level,2,3,4,2,0,2,45-54,$3k-$6k,4-5 yrs,Promoted this year,11-20 yrs
30,Mid-Career,No,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,Low,15998,1,Y,Yes,12,3,3,80,2,10,Junior Level,1,2,10,8,3,0,25-34,$3k-$6k,6-10 yrs,3-5 yrs since promotion,6-10 yrs
35,Mid-Career,No,0,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,Low,26278,1,Y,No,18,3,1,80,0,6,Junior Level,3,3,6,4,0,4,35-44,< $3k,6-10 yrs,Promoted this year,6-10 yrs
55,Senior,No,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,Medium,18092,3,Y,No,14,3,4,80,1,24,Senior Level,4,3,1,0,1,0,55+,$10k-$15k,0-1 yrs,1-2 yrs since promotion,20+ yrs
38,Mid-Career,No,0,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,Low,15717,7,Y,Yes,12,3,4,80,3,17,Mid Level,3,3,13,11,1,9,35-44,$3k-$6k,10+ yrs,1-2 yrs since promotion,11-20 yrs
34,Mid-Career,No,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,Low,17736,1,Y,No,15,3,3,80,0,5,Entry Level,2,3,5,2,1,3,25-34,$3k-$6k,4-5 yrs,1-2 yrs since promotion,3-5 yrs
56,Senior,No,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,Low,21698,4,Y,No,11,3,1,80,0,37,Senior Level,3,2,6,4,0,2,55+,$6k-$10k,6-10 yrs,Promoted this year,20+ yrs
23,Young,No,0,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Low,9518,3,Y,No,13,3,3,80,1,3,Entry Level,3,3,0,0,0,0,Under 25,< $3k,0-1 yrs,Promoted this year,3-5 yrs
51,Senior,No,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,Low,18725,3,Y,No,23,4,2,80,2,10,Junior Level,4,3,4,2,0,3,45-54,< $3k,4-5 yrs,Promoted this year,6-10 yrs
30,Mid-Career,No,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,Low,15830,1,Y,No,19,3,1,80,3,11,Mid Level,3,3,11,10,10,8,25-34,$3k-$6k,10+ yrs,5+ yrs since promotion,11-20 yrs
